ta,comparator,surrogate_endpoint_immaturity,missing_pro,icer_uncertainty,generalizability,trial_design_bias,budget_impact,other,notes
TA1127,0,0,0,0,0,1,0,0,"Ticked trial_design_bias for no direct comparison with pembrolizumab and highly uncertain indirect comparison results. Unticked comparator/ICER/budget: the comparator issue was not framed as an inappropriate or missing comparator, and the cost-comparison/funding text was not an evidence concern."
TA1129,0,0,0,0,0,1,0,0,Ticked trial_design_bias for no direct comparison with olaparib or rucaparib and highly uncertain indirect comparisons. Did not tick ICER/budget because the cost-effectiveness/cost-comparison text did not itself cite uncertainty or affordability as a concern.
TA1130,0,0,0,0,0,0,0,0,No genuine evidence concern in the excerpt beyond routine population optimisation and commercial-arrangement wording.
TA1133,1,1,0,1,0,1,0,0,"Comparator ticked because the direct trial comparator was not used in the NHS. Trial_design_bias ticked for reliance on indirect comparisons to NHS usual treatments, which were highly uncertain. Surrogate ticked because benefit was shown for time to progression but not for overall survival versus usual treatments. ICER ticked for stated economic-model uncertainties."
TA1136,0,0,0,1,0,0,0,0,Ticked ICER uncertainty for stated economic-model uncertainties from assumptions. No budget-impact concern was cited.
TA1139,0,0,0,0,0,1,0,0,Ticked trial_design_bias for absence of a direct comparison with usual treatments and reliance on indirect comparisons. No ICER or budget-impact uncertainty was explicitly raised.
TA1147,0,1,0,1,0,0,0,0,Ticked surrogate_endpoint_immaturity because overall survival benefit was uncertain despite progression-free survival benefit. Ticked ICER uncertainty because the cost-effectiveness estimates were explicitly described as uncertain. Did not count the stopping-rule/licence point as a separate evidence weakness because the excerpt says it matched trial use and practice.
TA1149,0,1,0,0,0,1,0,0,Ticked surrogate_endpoint_immaturity because survival benefit was uncertain while the trial was ongoing. Ticked trial_design_bias for no direct comparison with carfilzomib plus lenalidomide and dexamethasone and uncertain indirect evidence. No separate ICER or budget concern was stated.
TA1150,0,0,0,0,0,1,0,0,"Ticked trial_design_bias for no direct comparison with dabrafenib plus trametinib and reliance on indirect comparison. The excerpt acknowledges clinical uncertainty but does not state the ICER or economic model was uncertain, so ICER is left unticked."
TA1156,0,1,0,1,0,0,0,0,"Ticked surrogate_endpoint_immaturity for uncertain overall-survival benefit. Ticked ICER uncertainty for explicit economic-model uncertainties around post-progression survival, progression-free time and treatment duration."
TA1138,0,0,0,1,0,1,0,0,Ticked trial_design_bias for no direct comparison with adjuvant nivolumab. Ticked ICER uncertainty for stated economic-model uncertainties. Did not tick budget impact: funding/commercial arrangement text is routine.
TA1153,0,0,0,0,0,1,0,0,Ticked trial_design_bias for no direct comparison with FOLFOX or active symptom control and reliance on indirect comparisons. No ICER/budget uncertainty was explicitly cited.
TA1145,0,0,0,0,0,0,0,0,"The excerpt reports progression-free benefit and possible survival benefit but does not explicitly frame immature survival, trial design, ICER uncertainty or budget impact as a concern."
TA1146,0,1,0,1,1,0,0,0,"Ticked ICER uncertainty for explicit economic-model uncertainties. Ticked generalizability because the model had to adjust for trial participants receiving a higher ripretinib dose than would be used in the NHS. Ticked surrogate_endpoint_immaturity for lack of evidence on survival, especially after stopping treatment."
TA1119,0,0,0,1,0,1,0,0,Ticked trial_design_bias for no direct comparison with venetoclax plus ibrutinib and reliance on indirect comparisons. Ticked ICER uncertainty because clinical-evidence uncertainties were stated to make the cost-effectiveness evidence uncertain.
TA1040,0,0,0,0,0,1,0,0,Ticked trial_design_bias for no direct comparison with talazoparib and reliance on indirect comparison. Did not tick comparator/generalizability because the excerpt says the cost comparison and population difference were considered suitable.
TA1001,0,0,0,0,0,1,0,0,Ticked trial_design_bias for no direct comparison with standard care and reliance on indirect comparison. No explicit ICER or budget-impact concern was cited.
TA1116,0,0,0,0,0,1,0,0,"Ticked trial_design_bias because comparisons with other treatments were described as uncertain. Did not tick ICER uncertainty: the younger subgroup was not recommended because estimates were above the acceptable range, not because the ICER was stated to be uncertain. No budget-impact concern was cited."
